station,state,latitude,longitude,elevation,month,minimum temperature (F),maximum temperature (F),average temperature (F),average daily wind speed (miles per hour),direction of fastest 5 second wind (degrees),fastest 5 second wind speed (miles per hour),snowfall (inch),snow depth (inch),precipitation (inch)
ALLENTOWN INTL AP,PA,40.6508,-75.4492,118.9,January,19.22,25.16,22.64,8.500372,310,25.053728,0.1968505,0,0.01181103
HARTFORD BRADLEY INTL AP,CT,41.9381,-72.6825,57.9,August,62.06,89.06,76.28,3.131716,310,14.092722,0,0,0
ROCHESTER GTR INTL AP,NY,43.1167,-77.6767,162.5,August,57.02,75.92,66.38,8.052984,310,21.922012,0,0,0
WILLIAMSPORT,PA,41.2433,-76.9217,158.5,January,11.12,23.18,17.6,12.974252,310,34.001488,0.1181103,0,0
CLEVELAND,OH,41.4131,-81.86,232.6,January,12.2,19.22,14.36,12.526864,310,29.08022,0.787402,1.968505,0.01968505
FLINT BISHOP INTL AP,MI,42.9667,-83.7494,234.7,August,48.92,80.96,65.12,6.039738,310,23.040482,0,0,0
MADISON DANE RGNL AP,WI,43.1406,-89.3453,264,January,10.22,33.98,33.26,9.618842,310,31.093466,0,1.968505,0.03149608
MADISON DANE RGNL AP,WI,43.1406,-89.3453,264,January,-1.84,7.16,3.2,8.276678,310,23.040482,0.1181103,1.968505,0
MADISON DANE RGNL AP,WI,43.1406,-89.3453,264,January,31.1,37.04,32,7.381902,310,23.935258,0.7086618,5.118113,0.05118113
MILWAUKEE MITCHELL AP,WI,42.955,-87.9044,204.2,August,55.94,68,63.14,13.197946,310,36.014734,0,0,0
MUSKEGON CO AP,MI,43.1711,-86.2367,190.5,January,15.26,30.2,22.46,18.119214,310,36.90951,1.181103,0,0.0393701
PEORIA GTR PEORIA AP,IL,40.6675,-89.6839,198.1,January,17.24,39.92,37.58,9.618842,310,29.974996,0,0,0.09842525
PEORIA GTR PEORIA AP,IL,40.6675,-89.6839,198.1,August,53.96,75.02,64.22,7.82929,310,29.974996,0,0,0
SAULT STE MARIE SANDERSON FLD,MI,46.4794,-84.3572,220.1,August,64.04,84.92,73.22,5.144962,310,27.96175,0,0,0.01968505
SAULT STE MARIE SANDERSON FLD,MI,46.4794,-84.3572,220.1,August,51.08,73.94,62.24,4.921268,310,16.105968,0,0,0
MANSFIELD LAHM MUNI AP,OH,40.8203,-82.5178,394.7,August,62.06,84.92,73.76,3.802798,310,14.092722,0,0,0
AKRON CANTON RGNL AP,OH,40.9167,-81.4333,368.2,January,23.18,42.08,34.16,5.816044,310,19.01399,0,0,0
AKRON CANTON RGNL AP,OH,40.9167,-81.4333,368.2,January,6.26,16.16,10.4,10.513618,310,27.96175,0,1.968505,0
DULUTH,MN,46.8369,-92.2097,435.3,January,11.12,25.16,20.84,9.842536,310,21.922012,0.1181103,7.87402,0
DULUTH,MN,46.8369,-92.2097,435.3,January,-12.82,-2.74,-5.44,16.105968,310,33.106712,0,9.055123,0
DULUTH,MN,46.8369,-92.2097,435.3,January,-18.76,2.12,-9.04,8.500372,310,21.922012,0,9.055123,0
DULUTH,MN,46.8369,-92.2097,435.3,January,19.22,31.1,23.54,11.632088,310,29.08022,0.5118113,11.81103,0.03149608
DULUTH,MN,46.8369,-92.2097,435.3,August,60.98,82.04,73.04,9.395148,310,21.922012,0,0,0
DULUTH,MN,46.8369,-92.2097,435.3,August,50,73.04,57.56,8.500372,310,31.988242,0,0,0.16141741
FARGO HECTOR INTL AP,ND,46.9253,-96.8111,274.3,January,-7.78,13.1,8.6,18.342908,310,35.119958,0,9.842525,0
FARGO HECTOR INTL AP,ND,46.9253,-96.8111,274.3,January,-15.88,-0.76,-7.6,7.158208,310,18.119214,0,9.842525,0
GRAND FORKS INTL AP,ND,47.9428,-97.1839,256.6,January,16.16,23.18,20.48,8.500372,310,25.948504,0,7.086618,0
GRAND FORKS INTL AP,ND,47.9428,-97.1839,256.6,August,48.02,80.96,65.48,4.921268,310,16.105968,0,0,0
INTL FALLS INTL AP,MN,48.5614,-93.3981,360.6,January,10.22,27.14,23.72,10.961006,310,31.093466,0,11.81103,0
LA CROSSE MUNI AP,WI,43.8789,-91.2528,198.7,January,-2.74,13.1,4.82,6.71082,310,21.922012,0,3.149608,0
LA CROSSE MUNI AP,WI,43.8789,-91.2528,198.7,August,55.94,77,70.52,12.750558,310,33.106712,0,0,0.18897648
LA CROSSE MUNI AP,WI,43.8789,-91.2528,198.7,August,55.94,78.08,64.04,13.645334,310,34.001488,0,0,0.05905515
MINNEAPOLIS/ST PAUL AP,MN,44.8831,-93.2289,265.8,January,-7.78,2.12,-1.3,10.289924,310,21.027236,0,1.181103,0
MINNEAPOLIS/ST PAUL AP,MN,44.8831,-93.2289,265.8,January,-1.84,9.14,3.02,8.500372,310,21.027236,0,1.181103,0
ROCHESTER INTL AP,MN,43.9042,-92.4917,397.5,January,-8.86,-0.76,-2.2,12.079476,310,19.908766,0,3.149608,0
ST CLOUD RGNL AP,MN,45.5433,-94.0514,310.3,January,-11.74,5.18,-3.64,6.71082,310,19.908766,0,1.968505,0
ST CLOUD RGNL AP,MN,45.5433,-94.0514,310.3,January,15.26,41,25.52,11.408394,310,33.106712,0.787402,0,0.07086618
ST CLOUD RGNL AP,MN,45.5433,-94.0514,310.3,January,29.12,37.04,33.98,14.316416,310,31.988242,0,0,0.01181103
ST CLOUD RGNL AP,MN,45.5433,-94.0514,310.3,August,51.08,80.06,65.48,2.908022,310,14.987498,0,0,0
ABERDEEN,SD,45.4558,-98.4131,396.8,January,7.16,23.18,21.56,12.079476,310,21.027236,2.2047256,1.181103,0.16141741
ABERDEEN,SD,45.4558,-98.4131,396.8,January,-11.74,9.14,-1.66,4.250186,310,12.079476,0.3149608,3.149608,0.03149608
ABERDEEN,SD,45.4558,-98.4131,396.8,January,-18.76,3.2,-6.52,4.921268,310,10.961006,0,3.149608,0
ABERDEEN,SD,45.4558,-98.4131,396.8,January,24.26,41,32,19.685072,310,55.9235,0,1.968505,0
ABERDEEN,SD,45.4558,-98.4131,396.8,January,21.2,33.98,32.18,17.224438,310,31.093466,0,1.181103,0
DES MOINES INTL AP,IA,41.5339,-93.6531,291.7,January,5.18,15.26,10.58,12.974252,310,29.974996,0.1181103,0,0
DES MOINES INTL AP,IA,41.5339,-93.6531,291.7,January,-2.74,16.16,5.36,8.052984,310,19.908766,0,0,0
DES MOINES INTL AP,IA,41.5339,-93.6531,291.7,January,35.96,44.06,40.1,14.763804,310,36.90951,0,0,0
GRAND ISLAND AP,NE,40.9611,-98.3136,560.8,January,-7.78,11.12,6.44,10.961006,310,29.08022,0,1.181103,0
GRAND ISLAND AP,NE,40.9611,-98.3136,560.8,August,53.96,75.92,69.08,12.750558,310,33.106712,0,0,0
HURON RGNL AP,SD,44.3981,-98.2231,390.1,August,59,86,74.66,5.816044,310,21.027236,0,0,0
LINCOLN MUNI AP,NE,40.8508,-96.7475,362.7,January,26.24,60.98,38.84,8.94776,310,35.119958,0,0,0
NORFOLK KARL STEFAN AP,NE,41.9856,-97.4353,472.7,January,18.14,33.98,31.82,10.289924,310,36.90951,0,0,0.01181103
SIOUX CITY GATEWAY AP,IA,42.3914,-96.3792,333.8,January,11.12,33.08,17.78,11.1847,310,25.053728,0,0,0
SIOUX FALLS,SD,43.5878,-96.7289,435.9,January,-1.84,21.2,14.72,19.908766,310,38.02798,0,0,0
SIOUX FALLS,SD,43.5878,-96.7289,435.9,January,-5.8,6.26,-0.76,12.079476,310,25.053728,0,0,0
SIOUX FALLS,SD,43.5878,-96.7289,435.9,August,57.02,71.06,65.3,8.052984,310,21.922012,0,0,0
SAN ANGELO,TX,31.3711,-100.4922,576.1,January,41,75.92,56.12,6.71082,310,44.067718,0,0,0.01968505
AMARILLO,TX,35.2333,-101.7089,1093.3,August,62.06,87.98,73.22,8.500372,310,31.093466,0,0,0.29921276
ALBUQUERQUE INTL AP,NM,35.0419,-106.6156,1618.5,August,64.94,86,74.84,8.052984,310,38.922756,0,0,0.0787402
CLAYTON MUNI AIR PK,NM,36.4486,-103.1539,1511.8,January,33.98,68,48.38,9.395148,310,21.027236,0,0,0
ALAMOSA SAN LUIS AP,CO,37.4389,-105.8614,2296.1,January,19.22,27.14,21.74,2.908022,310,10.961006,0,5.118113,0
ALAMOSA SAN LUIS AP,CO,37.4389,-105.8614,2296.1,January,-7.78,32,8.78,2.684328,310,12.974252,0,3.149608,0
ALAMOSA SAN LUIS AP,CO,37.4389,-105.8614,2296.1,August,44.06,75.92,59.36,6.934514,310,27.96175,0,0,0.0393701
LONG BEACH DAUGHERTY FLD,CA,33.8117,-118.1464,9.4,January,53.06,69.98,57.38,2.23694,310,10.06623,0,0,0
TUCSON INTL AP,AZ,32.1314,-110.9553,776.9,January,51.08,78.08,62.78,6.934514,310,18.119214,0,0,0
TUCSON INTL AP,AZ,32.1314,-110.9553,776.9,August,73.04,102.92,79.52,5.816044,310,18.119214,0,0,0
RENO TAHOE INTL AP,NV,39.4839,-119.7711,1344.2,January,25.16,53.06,35.24,2.013246,310,10.961006,0,0,0
SAN DIEGO LINDBERGH FLD,CA,32.7336,-117.1831,4.6,January,51.98,71.06,58.46,2.23694,310,12.079476,0,0,0
STOCKTON METRO AP,CA,37.8892,-121.2258,7.9,August,60.08,93.02,74.84,6.71082,310,19.01399,0,0,0
SANTA MARIA PUBLIC AP,CA,34.8994,-120.4486,73.8,August,59,87.08,66.92,4.47388,310,21.922012,0,0,0
SANTA MARIA PUBLIC AP,CA,34.8994,-120.4486,73.8,August,55.94,71.96,62.42,7.381902,310,23.040482,0,0,0
SANTA MARIA PUBLIC AP,CA,34.8994,-120.4486,73.8,August,55.94,71.06,61.7,8.500372,310,21.027236,0,0,0
BISMARCK,ND,46.7708,-100.7603,505.4,January,-19.84,6.26,-8.14,9.842536,310,34.001488,0,18.110246,0
NORTH PLATTE RGNL AP,NE,41.1214,-100.6694,846.7,August,57.02,84.92,68.72,4.697574,310,23.935258,0,0,0
PIERRE RGNL AP,SD,44.3814,-100.2856,531,January,30.2,42.98,37.22,19.908766,310,46.080964,0,9.055123,0
PIERRE RGNL AP,SD,44.3814,-100.2856,531,August,62.06,86,73.94,8.500372,310,35.119958,0,0,0.11023628
SCOTTSBLUFF HEILIG AP,NE,41.8706,-103.5931,1202.4,January,8.24,14.18,10.58,7.158208,310,18.119214,2.4015761,0,0.16141741
SCOTTSBLUFF HEILIG AP,NE,41.8706,-103.5931,1202.4,January,-13.9,7.16,2.66,8.724066,310,19.908766,0,7.086618,0
VALENTINE MILLER FLD,NE,42.8783,-100.55,789.4,January,24.26,48.02,37.76,11.1847,310,29.08022,0,3.149608,0
RAPID CITY RGNL AP,SD,44.0433,-103.0536,963.2,January,29.12,55.04,44.78,18.790296,310,48.09421,0,0,0
SALT LAKE CITY INTL AP,UT,40.7781,-111.9694,1287.8,January,3.2,23.18,19.94,7.605596,310,19.908766,1.4960638,9.842525,0.09842525
WINNEMUCCA MUNI AP,NV,40.9017,-117.8081,1309.4,August,60.98,104,83.12,5.144962,310,23.935258,0,0,0
BOISE AIR TERMINAL,ID,43.5667,-116.2406,857.7,August,64.94,98.06,82.58,6.934514,310,21.922012,0,0,0
PENDLETON,OR,45.6906,-118.8528,461.8,January,29.12,39.02,34.16,5.144962,310,14.092722,0,0,0
PENDLETON,OR,45.6906,-118.8528,461.8,August,64.04,98.96,81.86,6.934514,310,19.01399,0,0,0
PENDLETON,OR,45.6906,-118.8528,461.8,August,60.08,95,77.9,6.71082,310,16.105968,0,0,0
SPOKANE INTL AP,WA,47.6217,-117.5281,717.2,August,62.06,95,78.98,4.921268,310,17.000744,0,0,0
MEDFORD ROGUE VLY AP,OR,42.3811,-122.8722,395.3,August,69.98,102.02,87.98,4.250186,310,21.027236,0,0,0
PORTLAND INTL AP,OR,45.5908,-122.6003,5.8,August,62.06,96.98,77.9,6.263432,310,23.935258,0,0,0
PORTLAND INTL AP,OR,45.5908,-122.6003,5.8,August,60.98,87.98,73.04,5.816044,310,16.105968,0,0,0
REDMOND ROBERTS FLD,OR,44.2558,-121.1392,927.5,August,44.96,100.04,78.26,7.381902,310,25.948504,0,0,0
YAKIMA AIR TERMINAL,WA,46.5683,-120.5428,324.3,January,10.22,28.22,20.66,4.921268,310,14.987498,4.4094512,9.842525,0.55905542
YAKUTAT STATE AP,AK,59.5119,-139.6711,10.1,August,48.02,66.92,57.92,2.013246,310,12.079476,0,0,0
ST PAUL ISLAND AP,AK,57.1553,-170.2222,10.7,January,15.26,31.1,24.98,1.342164,310,10.06623,0,1.968505,0
FAIRBANKS INTL AP,AK,64.8039,-147.8761,131.7,January,-1.84,16.16,2.84,2.013246,310,8.052984,0,20.078751,0
MCGRATH AP,AK,62.9575,-155.6103,101.5,January,2.12,31.1,28.58,0.894776,310,8.052984,1.4960638,11.023628,0.0787402
KOTZEBUE RALPH WEIN AP,AK,66.8667,-162.6333,9.1,August,59,64.94,61.7,5.816044,310,12.974252,0,0,0.01181103
KOTZEBUE RALPH WEIN AP,AK,66.8667,-162.6333,9.1,August,55.04,60.08,59.54,7.605596,310,14.092722,0,0,0
KOTZEBUE RALPH WEIN AP,AK,66.8667,-162.6333,9.1,August,53.06,59,55.4,5.816044,310,18.119214,0,0,0
KOTZEBUE RALPH WEIN AP,AK,66.8667,-162.6333,9.1,August,53.96,59,56.12,9.618842,310,19.908766,0,0,0.03149608
ALABASTER SHELBY CO AP,AL,33.1783,-86.7817,172.2,August,71.06,89.96,77.72,1.789552,310,29.974996,0,0,0.77952798
ALABASTER SHELBY CO AP,AL,33.1783,-86.7817,172.2,August,71.06,91.04,78.26,0.671082,310,10.06623,0,0,0
DOUGLAS BISBEE INL AP,AZ,31.4583,-109.6061,1251.2,January,20.12,66.92,43.52,3.802798,310,12.079476,0,0,0
COLORADO SPRINGS MUNI AP,CO,38.81,-104.6883,1884,August,53.96,75.02,65.66,8.276678,310,33.106712,0,0,0.64960665
HAYWARD AIR TERMINAL,CA,37.6542,-122.115,13.1,August,60.98,71.96,65.3,10.961006,310,25.053728,0,0,0
BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,January,33.98,53.96,45.32,4.921268,310,19.908766,0,0,0
BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,January,17.24,25.16,23.36,9.395148,310,25.948504,0.5118113,0,0.03149608
WASHINGTON DC DULLES AP,VA,38.9408,-77.4636,88.4,August,55.04,84.02,70.52,3.802798,310,17.000744,0,0,0
WALLOPS ISLAND FLIGHT FAC,VA,37.9406,-75.4631,11.6,January,37.04,57.02,49.82,8.276678,310,19.908766,0,0,0
WALLOPS ISLAND FLIGHT FAC,VA,37.9406,-75.4631,11.6,January,14.18,22.1,18.68,11.408394,310,31.988242,0,9.842525,0
CINCINNATI NORTHERN KY AP,KY,39.0431,-84.6717,264.9,January,14.18,22.1,20.12,8.052984,310,19.908766,2.5196864,0,0.16929143
CINCINNATI NORTHERN KY AP,KY,39.0431,-84.6717,264.9,January,7.16,14.18,12.02,8.052984,310,17.000744,0,1.181103,0
CINCINNATI NORTHERN KY AP,KY,39.0431,-84.6717,264.9,January,3.2,14.18,8.42,8.500372,310,19.908766,0,1.181103,0
INDIANAPOLIS,IN,39.7075,-86.2803,240.8,January,33.08,51.08,49.46,9.618842,310,31.988242,0,0,0.29133874
INDIANAPOLIS,IN,39.7075,-86.2803,240.8,January,7.16,19.22,16.34,8.724066,310,19.01399,1.181103,0,0.07086618
INDIANAPOLIS,IN,39.7075,-86.2803,240.8,January,2.12,11.12,7.52,8.500372,310,21.027236,0,1.181103,0
INDIANAPOLIS,IN,39.7075,-86.2803,240.8,January,2.12,19.22,11.66,7.605596,310,21.027236,0,1.181103,0
LOUISVILLE INTL AP,KY,38.1811,-85.7392,148.7,January,25.16,41,35.06,12.974252,310,27.96175,0,0,0
LOUISVILLE INTL AP,KY,38.1811,-85.7392,148.7,January,19.22,26.24,24.98,6.263432,310,17.000744,2.2834658,0,0.05905515
SPRINGFIELD CAPITAL AP,IL,39.8447,-89.6839,181.1,August,55.94,75.02,67.46,9.171454,310,29.974996,0,0,0
GLASGOW INTL AP,MT,48.2138,-106.6213,696.5,August,55.04,80.06,69.44,9.395148,310,27.066974,0,0,0
ASTORIA RGNL AP,OR,46.1569,-123.8825,2.7,August,51.08,82.94,65.48,6.263432,310,23.935258,0,0,0
ASTORIA RGNL AP,OR,46.1569,-123.8825,2.7,August,50,93.02,69.62,4.250186,310,21.027236,0,0,0
BRIDGEPORT SIKORSKY MEM AP,CT,41.1583,-73.1289,1.5,August,69.08,82.94,76.64,5.144962,310,29.974996,0,0,0
NEW YORK JFK INTL AP,NY,40.6386,-73.7622,3.4,January,27.14,35.96,32,8.724066,310,25.053728,1.1023628,1.181103,0.03149608
NEW YORK JFK INTL AP,NY,40.6386,-73.7622,3.4,January,18.14,26.24,21.38,18.342908,310,35.119958,0,7.87402,0
NEW YORK JFK INTL AP,NY,40.6386,-73.7622,3.4,January,30.2,39.02,35.6,12.526864,310,27.96175,0,0,0
NEW YORK JFK INTL AP,NY,40.6386,-73.7622,3.4,August,66.02,80.06,73.04,12.30317,310,25.948504,0,0,0
ROCKFORD GTR ROCKFORD AP,IL,42.1928,-89.0931,222.5,January,6.26,17.24,13.64,17.224438,310,31.988242,0,0,0
ROCKFORD GTR ROCKFORD AP,IL,42.1928,-89.0931,222.5,January,-0.76,7.16,2.48,8.276678,310,19.908766,0,0,0
ROCKFORD GTR ROCKFORD AP,IL,42.1928,-89.0931,222.5,January,0.14,17.24,6.26,8.94776,310,25.948504,0,0,0
ROCKFORD GTR ROCKFORD AP,IL,42.1928,-89.0931,222.5,August,55.04,73.04,62.42,11.1847,310,31.988242,0,0,0
PITTSBURGH INTL AP,PA,40.4847,-80.2144,366.7,January,5.18,17.24,13.82,6.263432,310,18.119214,0.1968505,1.968505,0
TOLEDO EXPRESS AP,OH,41.5886,-83.8014,203.9,January,7.16,17.24,12.56,9.171454,310,23.935258,0,0,0
DETROIT METRO AP,MI,42.2314,-83.3308,192.3,January,5.18,17.24,11.12,11.1847,310,27.96175,0.7086618,0,0.01968505
DUBUQUE RGNL AP,IA,42.3978,-90.7036,321.9,August,60.08,84.92,71.96,2.23694,310,12.079476,0,0,0
WATERLOO MUNI AP,IA,42.5544,-92.4011,264.6,August,51.98,78.08,69.62,11.632088,310,36.014734,0,0,0.14173236
AUGUSTA BUSH FLD AP,GA,33.3644,-81.9633,40.2,August,73.94,84.02,78.98,3.35541,300,21.922012,0,0,0.5511814
SAVANNAH INTL AP,GA,32.13,-81.21,14,January,53.96,69.98,60.62,10.289924,300,23.935258,0,0,0
SAVANNAH INTL AP,GA,32.13,-81.21,14,January,37.04,59,49.1,10.513618,300,31.988242,0,0,0
HUNTSVILLE INTL AP,AL,34.6439,-86.7861,190.2,January,37.04,71.96,51.8,4.250186,300,16.105968,0,0,0
HUNTINGTON TRI STATE AP,WV,38.365,-82.555,251.2,August,55.94,77,66.74,3.131716,300,10.961006,0,0,0
JACKSON,KY,37.5908,-83.3131,415.7,January,9.14,22.1,13.46,2.908022,300,12.974252,0.1181103,1.181103,0
LONGVIEW E TX RGNL AP,TX,32.3847,-94.7117,111.3,January,35.06,77,54.14,6.71082,300,19.908766,0,0,0
LAKE CHARLES,LA,30.125,-93.2158,4,August,75.02,87.98,79.16,4.250186,300,16.105968,0,0,2.53937145
BINGHAMTON,NY,42.1997,-75.985,489.5,January,7.16,17.24,11.84,4.47388,300,16.105968,0,0,0
BINGHAMTON,NY,42.1997,-75.985,489.5,January,4.1,16.16,9.32,12.750558,300,34.001488,0.1181103,0,0
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,January,4.1,22.1,16.16,5.144962,300,21.027236,0,7.87402,0
ORLANDO INTL AP,FL,28.4339,-81.325,27.4,August,73.94,93.02,79.88,7.381902,300,33.106712,0,0,0.53149635
GAINESVILLE RGNL AP,FL,29.6919,-82.2756,37.5,January,37.94,62.96,50.72,6.71082,300,19.908766,0,0,0
KEY WEST INTL AP,FL,24.555,-81.7522,1.2,January,75.02,80.96,77.72,6.039738,300,17.000744,0,0,0.14173236
MIAMI INTL AP,FL,25.7906,-80.3164,8.8,January,64.94,82.04,74.3,3.802798,300,19.01399,0,0,0
RALEIGH DURHAM INTL AP,NC,35.8922,-78.7819,126.8,January,15.26,27.14,20.84,4.921268,300,21.027236,0,1.181103,0
PIEDMONT TRIAD INTL AP,NC,36.0969,-79.9433,271.3,January,9.14,26.24,18.14,7.82929,300,25.053728,0,5.905515,0
PIEDMONT TRIAD INTL AP,NC,36.0969,-79.9433,271.3,January,28.22,44.06,37.22,10.06623,300,27.96175,0,0,0
PIEDMONT TRIAD INTL AP,NC,36.0969,-79.9433,271.3,August,66.92,87.08,76.46,6.71082,300,21.922012,0,0,0
ELKINS RANDOLPH CO AP,WV,38.8853,-79.8528,603.2,August,59,84.02,68.9,2.013246,300,14.092722,0,0,0
ELKINS RANDOLPH CO AP,WV,38.8853,-79.8528,603.2,August,50,75.02,66.92,3.35541,300,18.119214,0,0,0.0393701
ELKINS RANDOLPH CO AP,WV,38.8853,-79.8528,603.2,August,48.92,80.06,61.34,1.565858,300,12.974252,0,0,0
ROANOKE RGNL AP,VA,37.3169,-79.9742,358.1,January,24.26,35.06,31.46,5.816044,300,23.935258,0.5118113,1.181103,0.01968505
WILMINGTON NEW CASTLE CO AP,DE,39.6728,-75.6008,24.1,August,69.08,87.08,77.72,4.697574,300,38.02798,0,0,0.5905515
HATTIESBURG CHAIN MUNI AP,MS,31.2819,-89.2531,46,August,73.04,84.92,76.1,2.013246,300,21.922012,0,0,1.55118194
ATHENS BEN EPPS AP,GA,33.9481,-83.3275,239.3,January,31.1,55.94,42.44,7.605596,300,27.96175,0,0,0
ATHENS BEN EPPS AP,GA,33.9481,-83.3275,239.3,August,68,89.96,77.18,2.908022,300,23.935258,0,0,0.31102379
ATLANTA HARTSFIELD INTL AP,GA,33.63,-84.4417,307.8,January,33.08,57.02,43.34,9.842536,300,27.96175,0,0,0
BRISTOL TRI CITY AP,TN,36.4731,-82.4044,457.2,January,24.26,39.92,31.82,2.908022,300,14.092722,0,0,0
BRISTOL TRI CITY AP,TN,36.4731,-82.4044,457.2,August,62.96,84.02,72.32,3.131716,300,21.922012,0,0,0.24015761
CHARLOTTE DOUGLAS AP,NC,35.2236,-80.9553,221.9,August,64.94,87.98,76.28,2.460634,300,10.961006,0,0,0
COLUMBIA,SC,33.9486,-81.1186,70.4,January,59,71.96,62.6,7.158208,300,25.948504,0,0,0.96063044
JACKSONVILLE,FL,30.4844,-81.7019,10.1,January,39.02,62.06,50.18,8.052984,300,29.08022,0,0,0
KNOXVILLE MCGHEE TYSON AP,TN,35.8181,-83.9858,293.2,August,62.06,82.94,73.94,1.342164,300,8.94776,0,0,0
KNOXVILLE MCGHEE TYSON AP,TN,35.8181,-83.9858,293.2,August,68,87.08,76.46,3.579104,300,14.092722,0,0,0
MEMPHIS INTL AP,TN,35.0564,-89.9864,77.4,August,68,84.92,79.16,6.039738,300,27.066974,0,0,1.01181157
NASHVILLE INTL AP,TN,36.1189,-86.6892,182.9,August,64.94,84.92,76.46,6.71082,300,25.948504,0,0,0.68110273
SHREVEPORT,LA,32.4506,-93.8411,83.2,January,44.96,73.04,59.36,10.289924,300,25.948504,0,0,0
WACO RGNL AP,TX,31.6189,-97.2283,152.4,January,42.08,73.04,55.58,6.039738,300,19.908766,0,0,0.01181103
DALLAS LOVE FLD,TX,32.8519,-96.8556,134.1,January,55.94,73.04,64.22,7.605596,300,42.949248,0,0,0.38976399
DALLAS LOVE FLD,TX,32.8519,-96.8556,134.1,January,15.26,39.02,23.54,3.802798,300,12.974252,0,0,0
BANGOR INTL AP,ME,44.7978,-68.8186,45.1,January,13.1,37.04,29.48,3.579104,300,23.935258,1.6141741,9.0157529,0.12992133
MIDDLETOWN HARRISBURG INTL AP,PA,40.1936,-76.7633,95.1,January,20.12,28.22,26.6,9.395148,300,21.027236,0.5118113,1.181103,0.03149608
NEW YORK LAGUARDIA AP,NY,40.7794,-73.8803,3.4,August,69.08,87.98,79.52,5.816044,300,33.106712,0,0,0.0787402
NEWARK INTL AP,NJ,40.6825,-74.1694,2.1,January,12.2,23.18,17.96,7.381902,300,21.922012,0,3.149608,0
ALBANY AP,NY,42.7431,-73.8092,95.1,January,9.14,23.18,22.46,12.750558,300,34.001488,0.5118113,1.181103,0.01968505
ALBANY AP,NY,42.7431,-73.8092,95.1,January,17.24,30.2,26.96,10.06623,300,27.96175,0,0,0
ALBANY AP,NY,42.7431,-73.8092,95.1,August,53.96,75.92,66.92,8.500372,300,23.935258,0,0,0
CONCORD MUNI AP,NH,43.1953,-71.5011,105.5,January,9.14,35.96,21.56,0.223694,300,6.934514,0,12.992133,0
PORTLAND INTL JETPORT,ME,43.6497,-70.3003,13.7,August,57.02,77,67.46,8.276678,300,29.974996,0,0,0
PROVIDENCE T F GREEN AP,RI,41.7219,-71.4325,18.3,January,27.14,46.04,40.82,8.94776,300,29.08022,0,0,0.07086618
ROCHESTER GTR INTL AP,NY,43.1167,-77.6767,162.5,August,59,82.94,69.8,8.052984,300,31.093466,0,0,0
SYRACUSE HANCOCK INTL AP,NY,43.1111,-76.1039,125.9,January,7.16,18.14,14.72,10.961006,300,29.974996,2.4015761,1.181103,0.09842525
FLINT BISHOP INTL AP,MI,42.9667,-83.7494,234.7,August,53.06,75.02,63.14,10.289924,300,27.066974,0,0,0
FT WAYNE INTL AP,IN,40.9706,-85.2064,241.1,January,37.04,48.02,41.54,8.052984,300,29.08022,0,0,0.57874047
LANSING CAPITAL CITY AP,MI,42.7803,-84.5789,256.3,January,4.1,14.18,8.96,9.842536,300,27.066974,0.393701,0,0.01968505
LANSING CAPITAL CITY AP,MI,42.7803,-84.5789,256.3,August,64.94,87.98,75.38,5.816044,300,19.01399,0,0,0
MADISON DANE RGNL AP,WI,43.1406,-89.3453,264,January,-2.74,13.1,2.84,6.487126,300,25.053728,0,1.968505,0
MILWAUKEE MITCHELL AP,WI,42.955,-87.9044,204.2,January,0.14,8.24,3.02,9.618842,300,21.027236,0,0,0
MUSKEGON CO AP,MI,43.1711,-86.2367,190.5,January,9.14,15.26,12.74,12.079476,300,29.08022,2.2834658,1.968505,0.09055123
PEORIA GTR PEORIA AP,IL,40.6675,-89.6839,198.1,January,11.12,20.12,16.52,11.408394,300,25.948504,0,0,0.01181103
PEORIA GTR PEORIA AP,IL,40.6675,-89.6839,198.1,January,-1.84,9.14,4.82,5.816044,300,17.000744,0,0,0
PEORIA GTR PEORIA AP,IL,40.6675,-89.6839,198.1,January,-0.76,23.18,8.06,6.487126,300,21.922012,0,0,0
SAULT STE MARIE SANDERSON FLD,MI,46.4794,-84.3572,220.1,August,60.98,75.92,70.52,5.816044,300,23.935258,0,0,0.05118113
SOUTH BEND MICHIANA RGNL AP,IN,41.7072,-86.3164,235.6,January,15.26,33.08,23.54,17.89552,300,33.106712,0.1181103,0,0
SOUTH BEND MICHIANA RGNL AP,IN,41.7072,-86.3164,235.6,January,-3.82,16.16,4.64,12.079476,300,36.014734,0.5118113,1.968505,0.03149608
YOUNGSTOWN RGNL AP,OH,41.2544,-80.6739,359.7,January,20.12,25.16,23.72,8.94776,300,25.948504,1.181103,3.149608,0.07086618
ERIE INTL AP,PA,42.08,-80.1825,222.5,January,21.2,26.24,24.62,7.158208,300,21.922012,5.3149635,5.905515,0.22047256
AKRON CANTON RGNL AP,OH,40.9167,-81.4333,368.2,January,41,48.92,46.58,7.605596,300,29.974996,0,0,0.94881941
DULUTH,MN,46.8369,-92.2097,435.3,January,-16.78,-2.74,-11.02,12.526864,300,23.935258,0,9.055123,0
