Maker,Model,Release_year,Max_resolution,Low_resolution,Effective_megapixels,Zoom_wide(mm),Zoom_tele(mm),Normal_focus_range(mm),Macro_focus_range(mm),Storage_included(GB),Weight(g),Dimensions(mm),Price(dollars)
Fujifilm,Fujifilm FinePix S6000 fd,1/1/2006,2848.00,2048.00,6.00,28.00,300.00,40.00,10.00,10.00,700.00,131.00,399.00
Fujifilm,Fujifilm FinePix S9100,1/1/2006,3488.00,2592.00,9.00,28.00,300.00,0.00,0.00,0.00,750.00,128.00,229.00
Fujifilm,Fujifilm FinePix V10 Zoom,1/1/2006,2592.00,2048.00,5.00,36.00,130.00,60.00,9.00,16.00,185.00,83.00,179.00
Fujifilm,Fujifilm FinePix Z3,1/1/2006,2592.00,2048.00,5.00,36.00,108.00,60.00,8.00,10.00,170.00,89.00,179.00
Fujifilm,Fujifilm FinePix S5 Pro,1/1/2006,4256.00,3024.00,6.00,0.00,0.00,0.00,0.00,0.00,920.00,147.00,1699.00
HP,HP Photosmart E327,1/1/2006,2560.00,2048.00,5.00,35.00,35.00,60.00,0.00,16.00,170.00,96.00,179.00
HP,HP Photosmart M425,1/1/2006,2576.00,2080.00,5.00,38.00,114.00,50.00,12.00,32.00,172.00,109.00,179.00
HP,HP Photosmart M525,1/1/2006,2800.00,2288.00,6.00,38.00,114.00,50.00,12.00,16.00,192.00,96.00,179.00
HP,HP Photosmart M527,1/1/2006,2800.00,2288.00,6.00,38.00,114.00,50.00,12.00,16.00,227.00,99.00,179.00
HP,HP Photosmart R725,1/1/2006,2864.00,2592.00,6.00,39.00,118.00,50.00,10.00,32.00,136.00,94.00,179.00
HP,HP Photosmart R727,1/1/2006,2864.00,2592.00,6.00,39.00,118.00,50.00,5.00,32.00,190.00,91.00,179.00
HP,HP Photosmart R927,1/1/2006,3296.00,2592.00,8.00,35.00,105.00,50.00,10.00,-1.00,-1.00,-1.00,179.00
Kodak,Kodak C433,1/1/2006,2304.00,2048.00,4.00,36.00,108.00,60.00,10.00,16.00,180.00,91.00,126.00
Kodak,Kodak C533,1/1/2006,2576.00,2048.00,5.00,37.00,111.00,60.00,10.00,16.00,200.00,91.00,126.00
Kodak,Kodak C643,1/1/2006,2848.00,2304.00,6.00,36.00,108.00,60.00,13.00,22.00,195.00,92.00,126.00
Kodak,Kodak C663,1/1/2006,2832.00,2304.00,6.00,34.00,102.00,60.00,5.00,32.00,190.00,85.00,126.00
Kodak,Kodak C743,1/1/2006,3072.00,2304.00,7.00,37.00,111.00,60.00,13.00,32.00,195.00,92.00,126.00
Kodak,Kodak C875,1/1/2006,3264.00,2560.00,8.00,37.00,185.00,60.00,10.00,32.00,225.00,91.00,126.00
Kodak,Kodak P712,1/1/2006,3072.00,2592.00,7.00,36.00,432.00,50.00,10.00,32.00,440.00,108.00,126.00
Kodak,Kodak V570,1/1/2006,2569.00,2576.00,5.00,39.00,117.00,0.00,0.00,32.00,175.00,101.00,129.00
Kodak,Kodak V610,1/1/2006,2832.00,2304.00,6.00,38.00,380.00,0.00,0.00,32.00,195.00,111.00,129.00
Kodak,Kodak V705,1/1/2006,3072.00,2576.00,7.00,23.00,117.00,60.00,5.00,32.00,165.00,101.00,126.00
Kodak,Kodak Z612,1/1/2006,2848.00,2304.00,6.00,35.00,420.00,50.00,10.00,32.00,330.00,104.00,129.00
Kodak,Kodak Z650,1/1/2006,2848.00,2304.00,6.00,38.00,380.00,60.00,12.00,32.00,320.00,98.00,126.00
Kodak,Kodak Z710,1/1/2006,3072.00,2592.00,7.00,38.00,380.00,60.00,12.00,32.00,360.00,98.00,126.00
Leica,Leica C-LUX 1,1/1/2006,2816.00,2048.00,6.00,28.00,102.00,50.00,5.00,16.00,155.00,94.00,509.00
Leica,Leica Digilux 3,1/1/2006,3136.00,2560.00,7.00,0.00,0.00,0.00,0.00,0.00,606.00,146.00,269.00
Leica,Leica D-LUX 3,1/1/2006,4224.00,3840.00,10.00,28.00,112.00,50.00,5.00,13.00,220.00,106.00,509.00
Leica,Leica M8,1/1/2006,3936.00,2952.00,10.00,0.00,0.00,0.00,0.00,0.00,591.00,139.00,146.00
Leica,Leica V-LUX 1,1/1/2006,3648.00,3264.00,10.00,35.00,420.00,30.00,5.00,32.00,734.00,141.00,509.00
Nikon,Nikon Coolpix L2,1/1/2006,2816.00,2048.00,6.00,38.00,116.00,30.00,10.00,23.00,170.00,91.00,99.00
Nikon,Nikon Coolpix L3,1/1/2006,2592.00,2048.00,5.00,38.00,116.00,30.00,10.00,23.00,170.00,91.00,99.00
Nikon,Nikon Coolpix L4,1/1/2006,2272.00,1600.00,3.00,38.00,114.00,30.00,4.00,10.00,165.00,87.00,99.00
Nikon,Nikon Coolpix L5,1/1/2006,3072.00,2592.00,7.00,38.00,190.00,50.00,4.00,8.00,210.00,97.00,99.00
Nikon,Nikon Coolpix L6,1/1/2006,2816.00,2048.00,6.00,38.00,116.00,30.00,10.00,23.00,175.00,91.00,99.00
Nikon,Nikon Coolpix P3,1/1/2006,3264.00,2592.00,8.00,36.00,126.00,30.00,4.00,23.00,200.00,92.00,229.00
Nikon,Nikon Coolpix P4,1/1/2006,3264.00,2592.00,8.00,36.00,126.00,30.00,4.00,23.00,200.00,92.00,229.00
Nikon,Nikon Coolpix S10,1/1/2006,2816.00,2048.00,6.00,38.00,380.00,30.00,4.00,16.00,280.00,113.00,99.00
Nikon,Nikon Coolpix S5,1/1/2006,2816.00,2048.00,6.00,35.00,105.00,30.00,4.00,21.00,165.00,93.00,229.00
Nikon,Nikon Coolpix S6,1/1/2006,2816.00,2048.00,6.00,35.00,105.00,30.00,4.00,20.00,170.00,101.00,199.00
Nikon,Nikon Coolpix S7c,1/1/2006,3072.00,2592.00,7.00,35.00,105.00,30.00,4.00,14.00,170.00,101.00,199.00
Nikon,Nikon Coolpix S9,1/1/2006,2816.00,2048.00,6.00,38.00,114.00,25.00,4.00,24.00,165.00,91.00,199.00
Nikon,Nikon D2Xs,1/1/2006,4288.00,3216.00,12.00,0.00,0.00,0.00,0.00,0.00,1200.00,158.00,4699.00
Nikon,Nikon D40,1/1/2006,3008.00,2256.00,6.00,0.00,0.00,0.00,0.00,0.00,522.00,124.00,549.00
Nikon,Nikon D80,1/1/2006,3872.00,2896.00,10.00,0.00,0.00,0.00,0.00,0.00,668.00,132.00,1199.00
Olympus,Olympus E-330,1/1/2006,3136.00,2560.00,7.00,0.00,0.00,0.00,0.00,0.00,616.00,140.00,1699.00
Olympus,Olympus E-400,1/1/2006,3648.00,3200.00,10.00,0.00,0.00,0.00,0.00,0.00,435.00,130.00,1699.00
Olympus,Olympus FE-115,1/1/2006,2560.00,1600.00,5.00,38.00,106.00,50.00,2.00,28.00,160.00,88.00,129.00
Olympus,Olympus FE-130,1/1/2006,2592.00,2048.00,5.00,38.00,114.00,10.00,5.00,22.00,160.00,96.00,129.00
Olympus,Olympus FE-140,1/1/2006,2816.00,2048.00,6.00,38.00,114.00,10.00,5.00,22.00,160.00,96.00,129.00
Olympus,Olympus FE-150,1/1/2006,2560.00,2048.00,5.00,32.00,96.00,50.00,6.00,9.00,175.00,90.00,129.00
Olympus,Olympus FE-170,1/1/2006,2816.00,2048.00,6.00,38.00,114.00,0.00,0.00,10.00,175.00,90.00,129.00
Olympus,Olympus FE-180,1/1/2006,2816.00,2048.00,6.00,38.00,114.00,0.00,0.00,10.00,170.00,88.00,179.00
Olympus,Olympus FE-190,1/1/2006,2816.00,2048.00,6.00,38.00,114.00,0.00,0.00,22.00,150.00,91.00,129.00
Olympus,Olympus FE-200,1/1/2006,2816.00,2048.00,6.00,28.00,140.00,0.00,0.00,24.00,195.00,98.00,129.00
Olympus,Olympus SP-320,1/1/2006,3072.00,2592.00,7.00,38.00,114.00,20.00,2.00,25.00,230.00,100.00,449.00
Olympus,Olympus SP-510 UZ,1/1/2006,3072.00,2560.00,7.00,38.00,380.00,60.00,3.00,0.00,410.00,106.00,449.00
Olympus,Olympus Stylus 1000,1/1/2006,3648.00,2560.00,10.00,35.00,105.00,60.00,10.00,0.00,195.00,97.00,229.00
Olympus,Olympus Stylus 700 ,1/1/2006,3072.00,2560.00,7.00,37.00,111.00,60.00,8.00,19.00,140.00,95.00,229.00
Olympus,Olympus Stylus 720 SW ,1/1/2006,3072.00,2560.00,7.00,37.00,111.00,60.00,8.00,19.00,190.00,95.00,299.00
Olympus,Olympus Stylus 725 SW,1/1/2006,3072.00,2560.00,7.00,38.00,114.00,60.00,2.00,19.00,190.00,91.00,299.00
Olympus,Olympus Stylus 730,1/1/2006,3072.00,2560.00,7.00,38.00,114.00,50.00,7.00,22.00,190.00,96.00,229.00
Olympus,Olympus Stylus 740,1/1/2006,3072.00,2560.00,7.00,36.00,180.00,70.00,3.00,17.00,160.00,96.00,229.00
Olympus,Olympus Stylus 750,1/1/2006,3072.00,2560.00,7.00,36.00,180.00,70.00,3.00,17.00,170.00,96.00,229.00
Olympus,Olympus Stylus 810 ,1/1/2006,3264.00,2560.00,8.00,35.00,105.00,60.00,10.00,28.00,185.00,97.00,249.00
Panasonic,Panasonic Lumix DMC-FX01,1/1/2006,2816.00,2048.00,6.00,28.00,102.00,50.00,5.00,16.00,155.00,94.00,1499.00
Panasonic,Panasonic Lumix DMC-FX07,1/1/2006,3072.00,2560.00,7.00,28.00,102.00,50.00,5.00,0.00,170.00,94.00,1499.00
Panasonic,Panasonic Lumix DMC-FX3,1/1/2006,2816.00,2048.00,6.00,35.00,105.00,50.00,5.00,13.00,165.00,94.00,299.00
Panasonic,Panasonic Lumix DMC-FX50,1/1/2006,3072.00,2560.00,7.00,28.00,102.00,50.00,5.00,0.00,190.00,98.00,1499.00
Panasonic,Panasonic Lumix DMC-FZ50,1/1/2006,3648.00,3264.00,10.00,35.00,420.00,30.00,5.00,32.00,734.00,141.00,149.00
Panasonic,Panasonic Lumix DMC-FZ7,1/1/2006,2816.00,2304.00,6.00,36.00,432.00,30.00,5.00,16.00,340.00,113.00,149.00
Panasonic,Panasonic Lumix DMC-L1,1/1/2006,3136.00,2560.00,7.00,0.00,0.00,0.00,0.00,0.00,606.00,146.00,1499.00
Panasonic,Panasonic Lumix DMC-LS2,1/1/2006,2560.00,2048.00,5.00,35.00,105.00,50.00,5.00,14.00,188.00,111.00,1499.00
Panasonic,Panasonic Lumix DMC-LX2,1/1/2006,4224.00,3840.00,10.00,28.00,112.00,50.00,5.00,13.00,220.00,106.00,1499.00
Panasonic,Panasonic Lumix DMC-LZ3,1/1/2006,2560.00,2048.00,5.00,37.00,222.00,50.00,5.00,14.00,230.00,100.00,149.00
Panasonic,Panasonic Lumix DMC-LZ5,1/1/2006,2816.00,2048.00,6.00,37.00,222.00,50.00,5.00,14.00,230.00,100.00,149.00
Panasonic,Panasonic Lumix DMC-TZ1,1/1/2006,2560.00,2048.00,4.00,35.00,350.00,40.00,5.00,13.00,250.00,112.00,299.00
Pentax,Pentax *ist DL2,1/1/2006,3008.00,2400.00,6.00,0.00,0.00,0.00,0.00,0.00,565.00,125.00,799.00
Pentax,Pentax K100D,1/1/2006,3008.00,2400.00,6.00,0.00,0.00,0.00,0.00,0.00,660.00,129.00,509.00
Pentax,Pentax K10D,1/1/2006,3872.00,3008.00,10.00,0.00,0.00,0.00,0.00,0.00,793.00,142.00,799.00
Pentax,Pentax K110D,1/1/2006,3008.00,2400.00,6.00,0.00,0.00,0.00,0.00,0.00,585.00,129.00,509.00
Pentax,Pentax Optio A10,1/1/2006,3264.00,2592.00,8.00,38.00,114.00,35.00,6.00,24.00,145.00,89.00,249.00
Pentax,Pentax Optio A20,1/1/2006,3648.00,3072.00,10.00,38.00,114.00,35.00,6.00,22.00,145.00,89.00,149.00
Pentax,Pentax Optio E10,1/1/2006,2816.00,2272.00,6.00,34.00,102.00,50.00,5.00,10.00,180.00,87.00,149.00
Pentax,Pentax Optio E20,1/1/2006,2816.00,2272.00,6.00,34.00,102.00,50.00,5.00,13.00,180.00,90.00,149.00
Pentax,Pentax Optio M10,1/1/2006,2816.00,2560.00,6.00,35.00,105.00,70.00,10.00,22.00,170.00,89.00,249.00
Pentax,Pentax Optio M20,1/1/2006,3072.00,2560.00,7.00,38.00,114.00,40.00,5.00,22.00,180.00,94.00,149.00
Pentax,Pentax Optio S7,1/1/2006,3072.00,2592.00,7.00,37.00,112.00,40.00,15.00,23.00,120.00,86.00,149.00
Pentax,Pentax Optio T10,1/1/2006,2816.00,2592.00,6.00,37.00,112.00,40.00,15.00,12.00,155.00,95.00,249.00
Pentax,Pentax Optio T20,1/1/2006,3072.00,2592.00,7.00,37.00,112.00,40.00,15.00,12.00,155.00,95.00,149.00
Pentax,Pentax Optio W10,1/1/2006,2816.00,2560.00,6.00,38.00,114.00,40.00,1.00,10.00,160.00,107.00,269.00
Pentax,Pentax Optio W20,1/1/2006,3072.00,2560.00,7.00,38.00,114.00,40.00,1.00,21.00,150.00,107.00,269.00
Ricoh,Ricoh Caplio 500G,1/1/2006,3264.00,2592.00,8.00,28.00,85.00,30.00,1.00,26.00,450.00,133.00,229.00
Ricoh,Ricoh Caplio R30,1/1/2006,2560.00,2048.00,4.00,28.00,160.00,30.00,1.00,28.00,180.00,95.00,99.00
Ricoh,Ricoh Caplio R4,1/1/2006,2816.00,2048.00,6.00,28.00,200.00,30.00,1.00,26.00,165.00,95.00,99.00
Ricoh,Ricoh Caplio R40,1/1/2006,2816.00,2048.00,6.00,28.00,160.00,30.00,1.00,26.00,165.00,95.00,199.00
Ricoh,Ricoh Caplio R5,1/1/2006,3072.00,2592.00,7.00,28.00,200.00,30.00,1.00,26.00,165.00,96.00,99.00
Ricoh,Ricoh Caplio RR630,1/1/2006,2816.00,2048.00,6.00,36.00,108.00,50.00,6.00,12.00,200.00,91.00,399.00
Samsung,Samsung GX-10,1/1/2006,3872.00,3008.00,10.00,0.00,0.00,0.00,0.00,0.00,793.00,142.00,199.00
Samsung,Samsung GX-1L,1/1/2006,3008.00,2400.00,6.00,0.00,0.00,0.00,0.00,0.00,570.00,125.00,299.00
Samsung,Samsung GX-1S,1/1/2006,3008.00,2400.00,6.00,0.00,0.00,0.00,0.00,0.00,605.00,125.00,299.00
Samsung,Samsung Digimax i6,1/1/2006,2816.00,2592.00,6.00,39.00,117.00,50.00,1.00,45.00,0.00,96.00,229.00
Samsung,Samsung NV10,1/1/2006,3648.00,3136.00,10.00,35.00,105.00,80.00,4.00,20.00,190.00,97.00,229.00
Samsung,Samsung NV3,1/1/2006,3072.00,2816.00,7.00,38.00,114.00,80.00,1.00,15.00,155.00,95.00,229.00
Samsung,Samsung NV7 OPS,1/1/2006,3072.00,2688.00,7.00,38.00,270.00,80.00,1.00,19.00,290.00,106.00,229.00
Sigma,Sigma DP1,1/1/2006,2640.00,1776.00,4.00,28.00,28.00,0.00,0.00,0.00,270.00,109.00,1599.00
Sigma,Sigma SD14,1/1/2006,2640.00,1776.00,4.00,0.00,0.00,0.00,0.00,0.00,750.00,144.00,19.00
Sony,Sony DSC-H2,1/1/2006,2816.00,2048.00,6.00,36.00,432.00,50.00,2.00,32.00,490.00,108.00,429.00
Sony,Sony DSC-H5,1/1/2006,3072.00,2592.00,7.00,36.00,432.00,50.00,2.00,32.00,490.00,108.00,429.00
Sony,Sony DSC-N2,1/1/2006,3264.00,2592.00,10.00,38.00,114.00,50.00,6.00,32.00,139.00,94.00,399.00
Sony,Sony DSC-S600,1/1/2006,2816.00,2048.00,6.00,31.00,93.00,12.00,0.00,32.00,180.00,100.00,149.00
Sony,Sony DSC-T10,1/1/2006,3072.00,2592.00,7.00,38.00,114.00,50.00,1.00,56.00,168.00,90.00,399.00
Sony,Sony DSC-T30,1/1/2006,3072.00,2592.00,7.00,38.00,114.00,50.00,1.00,58.00,172.00,95.00,399.00
Sony,Sony DSC-T50,1/1/2006,3072.00,2592.00,7.00,38.00,114.00,50.00,1.00,58.00,170.00,95.00,399.00
Sony,Sony DSC-W100,1/1/2006,3264.00,2592.00,8.00,38.00,114.00,50.00,6.00,64.00,192.00,94.00,149.00
Sony,Sony DSC-W30,1/1/2006,2816.00,2048.00,6.00,38.00,114.00,50.00,2.00,32.00,153.00,90.00,149.00
Sony,Sony DSC-W50,1/1/2006,2816.00,2048.00,6.00,38.00,114.00,50.00,2.00,32.00,157.00,89.00,149.00
Sony,Sony DSC-W70,1/1/2006,3072.00,2592.00,7.00,38.00,114.00,50.00,2.00,58.00,157.00,89.00,149.00
Sony,Sony DSLR-A100,1/1/2006,3872.00,3896.00,10.00,0.00,0.00,0.00,0.00,0.00,638.00,133.00,599.00
Canon,Canon PowerShot A410,1/1/2005,2048.00,1600.00,3.00,41.00,131.00,0.00,1.00,16.00,195.00,103.00,139.00
Canon,Canon PowerShot A510,1/1/2005,2048.00,1600.00,3.00,35.00,140.00,0.00,5.00,16.00,230.00,91.00,139.00
Canon,Canon PowerShot A520,1/1/2005,2272.00,1600.00,3.00,35.00,140.00,0.00,5.00,16.00,230.00,91.00,149.00
Canon,Canon PowerShot A610,1/1/2005,2592.00,2592.00,5.00,35.00,140.00,0.00,1.00,16.00,285.00,105.00,139.00
Canon,Canon PowerShot A620,1/1/2005,3072.00,3072.00,7.00,35.00,140.00,0.00,1.00,32.00,285.00,105.00,139.00
Canon,Canon EOS-1D Mark II N,1/1/2005,3504.00,3104.00,8.00,0.00,0.00,0.00,0.00,0.00,1565.00,156.00,4499.00
Canon,Canon EOS 20Da,1/1/2005,3504.00,2544.00,8.00,0.00,0.00,0.00,0.00,0.00,770.00,144.00,1299.00
Canon,Canon EOS 350D / Digital Rebel XT,1/1/2005,3456.00,2496.00,8.00,0.00,0.00,0.00,0.00,0.00,540.00,127.00,1299.00
Canon,Canon EOS 5D,1/1/2005,4368.00,3168.00,12.00,0.00,0.00,0.00,0.00,0.00,895.00,152.00,2499.00
Canon,Canon PowerShot S2 IS,1/1/2005,2592.00,2048.00,5.00,36.00,432.00,50.00,10.00,16.00,505.00,113.00,399.00
Canon,Canon PowerShot S80,1/1/2005,3264.00,2592.00,8.00,28.00,100.00,50.00,4.00,32.00,290.00,104.00,399.00
Canon,Canon PowerShot SD30,1/1/2005,2592.00,2048.00,5.00,38.00,90.00,0.00,10.00,16.00,120.00,96.00,199.00
Canon,Canon PowerShot SD400,1/1/2005,2592.00,2048.00,5.00,35.00,105.00,0.00,3.00,16.00,150.00,86.00,199.00
Canon,Canon PowerShot SD430 Wireless,1/1/2005,2592.00,2048.00,5.00,35.00,105.00,0.00,3.00,16.00,185.00,99.00,199.00
Canon,Canon PowerShot SD450,1/1/2005,2592.00,2048.00,5.00,35.00,105.00,0.00,3.00,16.00,155.00,86.00,199.00
Canon,Canon PowerShot SD500,1/1/2005,3072.00,2592.00,7.00,37.00,111.00,0.00,5.00,32.00,200.00,90.00,199.00
Canon,Canon PowerShot SD550,1/1/2005,3072.00,2592.00,7.00,37.00,111.00,0.00,5.00,32.00,185.00,90.00,199.00
Casio,Casio Exilim EX-P505,1/1/2005,2560.00,2048.00,4.00,38.00,190.00,40.00,1.00,7.00,275.00,99.00,249.00
Casio,Casio Exilim EX-S500,1/1/2005,2560.00,2304.00,4.00,38.00,114.00,40.00,17.00,8.00,125.00,90.00,249.00
Casio,Casio Exilim EX-S600,1/1/2005,2816.00,2304.00,6.00,38.00,114.00,40.00,15.00,8.00,155.00,90.00,249.00
Casio,Casio Exilim EX-Z10,1/1/2005,2560.00,2304.00,5.00,35.00,114.00,40.00,6.00,8.00,154.00,90.00,329.00
Casio,Casio Exilim EX-Z110,1/1/2005,2816.00,2304.00,6.00,35.00,114.00,40.00,6.00,8.00,151.00,90.00,329.00
Casio,Casio Exilim EX-Z120,1/1/2005,3072.00,2560.00,7.00,38.00,114.00,50.00,10.00,8.00,154.00,90.00,329.00
Casio,Casio Exilim EX-Z500,1/1/2005,2560.00,2304.00,5.00,38.00,114.00,40.00,17.00,8.00,127.00,89.00,329.00
Casio,Casio Exilim EX-Z57,1/1/2005,2560.00,2048.00,4.00,35.00,105.00,40.00,6.00,9.00,175.00,89.00,199.00
Casio,Casio Exilim EX-Z750,1/1/2005,3072.00,2304.00,7.00,38.00,114.00,40.00,10.00,9.00,165.00,89.00,329.00
Fujifilm,Fujifilm FinePix A345 Zoom,1/1/2005,2304.00,2048.00,4.00,35.00,105.00,60.00,6.00,16.00,192.00,90.00,169.00
Fujifilm,Fujifilm FinePix A350 Zoom,1/1/2005,2592.00,2048.00,5.00,35.00,105.00,60.00,6.00,16.00,192.00,90.00,169.00
Fujifilm,Fujifilm FinePix E900 Zoom,1/1/2005,3488.00,2592.00,9.00,32.00,128.00,60.00,7.00,16.00,260.00,102.00,169.00
Fujifilm,Fujifilm FinePix F10 Zoom,1/1/2005,2848.00,2048.00,6.00,36.00,108.00,60.00,8.00,16.00,190.00,92.00,179.00
Fujifilm,Fujifilm FinePix F11 Zoom,1/1/2005,2848.00,2048.00,6.00,36.00,108.00,60.00,5.00,16.00,190.00,92.00,199.00
Fujifilm,Fujifilm FinePix S5200 Zoom,1/1/2005,2592.00,2048.00,5.00,38.00,380.00,90.00,1.00,16.00,470.00,114.00,229.00
Fujifilm,Fujifilm FinePix S9000 Z,1/1/2005,3488.00,2592.00,9.00,28.00,300.00,50.00,1.00,16.00,745.00,128.00,229.00
Fujifilm,Fujifilm FinePix Z1,1/1/2005,2592.00,2048.00,5.00,36.00,108.00,60.00,8.00,16.00,170.00,90.00,179.00
Fujifilm,Fujifilm FinePix Z2,1/1/2005,2592.00,2048.00,5.00,36.00,108.00,60.00,8.00,16.00,170.00,90.00,179.00
HP,HP Photosmart E317,1/1/2005,2560.00,2048.00,5.00,35.00,35.00,60.00,10.00,16.00,231.00,95.00,179.00
HP,HP Photosmart M22,1/1/2005,2320.00,1600.00,4.00,36.00,36.00,0.00,0.00,16.00,172.00,109.00,179.00
HP,HP Photosmart M23,1/1/2005,2320.00,1600.00,4.00,36.00,36.00,0.00,10.00,16.00,172.00,109.00,179.00
HP,HP Photosmart M417,1/1/2005,2576.00,2048.00,5.00,36.00,108.00,50.00,12.00,16.00,181.00,96.00,179.00
HP,HP Photosmart M517,1/1/2005,2576.00,2048.00,5.00,36.00,108.00,80.00,12.00,16.00,190.00,97.00,179.00
HP,HP Photosmart R717,1/1/2005,2864.00,2592.00,6.00,39.00,117.00,50.00,10.00,32.00,150.00,93.00,179.00
HP,HP Photosmart R817,1/1/2005,2592.00,2048.00,5.00,36.00,180.00,20.00,3.00,32.00,205.00,100.00,179.00
HP,HP Photosmart R818,1/1/2005,2592.00,2048.00,5.00,36.00,180.00,20.00,1.00,32.00,200.00,96.00,179.00
Kodak,Kodak C300,1/1/2005,2096.00,0.00,3.00,37.00,37.00,80.00,0.00,16.00,198.00,104.00,129.00
Kodak,Kodak C310,1/1/2005,2336.00,2313.00,4.00,35.00,35.00,85.00,85.00,16.00,154.00,103.00,129.00
Kodak,Kodak C330,1/1/2005,2336.00,2304.00,4.00,34.00,102.00,60.00,13.00,16.00,180.00,91.00,129.00
Kodak,Kodak C340,1/1/2005,2576.00,0.00,5.00,34.00,102.00,60.00,13.00,16.00,198.00,92.00,129.00
Kodak,Kodak C360,1/1/2005,2690.00,2569.00,5.00,34.00,102.00,60.00,7.00,32.00,170.00,84.00,129.00
Kodak,Kodak Easyshare One,1/1/2005,2304.00,0.00,4.00,36.00,100.00,60.00,10.00,256.00,275.00,103.00,296.00
Kodak,Kodak P850,1/1/2005,2592.00,2048.00,5.00,36.00,432.00,10.00,10.00,32.00,450.00,108.00,146.00
Kodak,Kodak P880,1/1/2005,3264.00,2560.00,8.00,24.00,140.00,10.00,5.00,32.00,570.00,116.00,146.00
Kodak,Kodak V530,1/1/2005,2569.00,2576.00,5.00,36.00,108.00,60.00,7.00,16.00,150.00,92.00,126.00
Kodak,Kodak V550,1/1/2005,2569.00,2576.00,5.00,36.00,108.00,60.00,7.00,32.00,160.00,94.00,126.00
Kodak,Kodak Z700,1/1/2005,2304.00,0.00,4.00,35.00,175.00,60.00,10.00,16.00,270.00,97.00,126.00
Kodak,Kodak Z730,1/1/2005,2576.00,2304.00,5.00,33.00,132.00,50.00,10.00,32.00,270.00,100.00,126.00
Kodak,Kodak Z740,1/1/2005,2576.00,2304.00,5.00,38.00,380.00,60.00,12.00,32.00,330.00,98.00,126.00
Kodak,Kodak Z7590,1/1/2005,2576.00,2576.00,5.00,38.00,380.00,60.00,12.00,32.00,400.00,97.00,126.00
Kodak,Kodak Z760,1/1/2005,2872.00,2856.00,6.00,39.00,117.00,60.00,7.00,32.00,259.00,100.00,126.00
Leica,Leica D-LUX 2,1/1/2005,3840.00,3072.00,8.00,28.00,112.00,50.00,5.00,32.00,220.00,106.00,509.00
Nikon,Nikon Coolpix 4600,1/1/2005,2288.00,1600.00,3.00,34.00,102.00,30.00,4.00,14.00,180.00,85.00,229.00
Nikon,Nikon Coolpix 5600,1/1/2005,2592.00,2048.00,5.00,34.00,102.00,30.00,4.00,14.00,180.00,85.00,229.00
Nikon,Nikon Coolpix 5900,1/1/2005,2592.00,2048.00,5.00,38.00,114.00,30.00,4.00,13.00,185.00,88.00,229.00
Nikon,Nikon Coolpix 7600,1/1/2005,3072.00,2592.00,7.00,38.00,114.00,30.00,4.00,14.00,195.00,85.00,229.00
Nikon,Nikon Coolpix 7900,1/1/2005,3072.00,2592.00,7.00,38.00,114.00,30.00,4.00,13.00,185.00,88.00,229.00
Nikon,Nikon Coolpix L1,1/1/2005,2816.00,2048.00,6.00,38.00,190.00,50.00,4.00,10.00,195.00,90.00,99.00
Nikon,Nikon Coolpix P1,1/1/2005,3264.00,2592.00,8.00,35.00,126.00,50.00,4.00,32.00,185.00,91.00,99.00
Nikon,Nikon Coolpix P2,1/1/2005,2592.00,2048.00,5.00,35.00,126.00,50.00,4.00,16.00,185.00,91.00,229.00
Nikon,Nikon Coolpix S1,1/1/2005,2592.00,2048.00,5.00,35.00,105.00,30.00,4.00,12.00,170.00,90.00,99.00
Nikon,Nikon Coolpix S2,1/1/2005,2592.00,2048.00,5.00,35.00,105.00,30.00,4.00,12.00,160.00,92.00,199.00
Nikon,Nikon Coolpix S3,1/1/2005,2816.00,2048.00,6.00,35.00,105.00,30.00,4.00,12.00,132.00,90.00,199.00
Nikon,Nikon Coolpix S4,1/1/2005,2816.00,2048.00,6.00,38.00,380.00,30.00,6.00,13.00,225.00,112.00,199.00
Nikon,Nikon D200,1/1/2005,3872.00,2896.00,10.00,0.00,0.00,0.00,0.00,0.00,920.00,147.00,1599.00
Nikon,Nikon D2Hs,1/1/2005,2464.00,1840.00,4.00,0.00,0.00,0.00,0.00,0.00,1200.00,158.00,4699.00
Nikon,Nikon D50,1/1/2005,3008.00,2256.00,6.00,0.00,0.00,0.00,0.00,0.00,620.00,133.00,1599.00
Nikon,Nikon D70s,1/1/2005,3008.00,2240.00,6.00,0.00,0.00,0.00,0.00,0.00,679.00,140.00,1599.00
Olympus,Olympus C-5500 Sport Zoom,1/1/2005,2592.00,2288.00,5.00,38.00,190.00,60.00,8.00,16.00,340.00,110.00,129.00
Olympus,Olympus C-7070 Wide Zoom,1/1/2005,3072.00,2592.00,7.00,27.00,110.00,80.00,3.00,32.00,480.00,116.00,129.00
Olympus,Olympus D-425,1/1/2005,2288.00,1600.00,3.00,37.00,37.00,50.00,20.00,14.00,170.00,101.00,1699.00
Olympus,Olympus D-435,1/1/2005,2592.00,1600.00,5.00,36.00,35.00,50.00,20.00,0.00,140.00,101.00,1699.00
Olympus,Olympus D-545 Zoom,1/1/2005,2288.00,1600.00,3.00,38.00,114.00,50.00,2.00,14.00,190.00,106.00,449.00
Olympus,Olympus D-595 Zoom,1/1/2005,2560.00,1600.00,4.00,38.00,114.00,50.00,2.00,14.00,190.00,105.00,449.00
